# internal.gains.scalar = exogenous scalar * degree.days / exogenous degree day norm
region,gcam.consumer,nodeInput,building.node.input,thermal.building.service.input,internal.gains.scalar
CT,resid_d2,resid,resid_building,resid heating modern_d2,-907
CT,resid_d3,resid,resid_building,resid heating modern_d3,-907
CT,resid_d4,resid,resid_building,resid heating modern_d4,-907
CT,resid_d5,resid,resid_building,resid heating modern_d5,-907
CT,resid_d6,resid,resid_building,resid heating modern_d6,-907
CT,resid_d7,resid,resid_building,resid heating modern_d7,-907
CT,resid_d8,resid,resid_building,resid heating modern_d8,-907
CT,resid_d9,resid,resid_building,resid heating modern_d9,-907
CT,resid_d10,resid,resid_building,resid heating modern_d10,-907
CT,resid_d1,resid,resid_building,resid heating TradBio_d1,-907
CT,resid_d2,resid,resid_building,resid heating TradBio_d2,-907
CT,resid_d3,resid,resid_building,resid heating TradBio_d3,-907
CT,resid_d4,resid,resid_building,resid heating TradBio_d4,-907
CT,resid_d5,resid,resid_building,resid heating TradBio_d5,-907
CT,resid_d6,resid,resid_building,resid heating TradBio_d6,-907
CT,resid_d7,resid,resid_building,resid heating TradBio_d7,-907
CT,resid_d8,resid,resid_building,resid heating TradBio_d8,-907
CT,resid_d9,resid,resid_building,resid heating TradBio_d9,-907
CT,resid_d10,resid,resid_building,resid heating TradBio_d10,-907
DC,resid_d1,resid,resid_building,resid cooling modern_d1,474
DC,resid_d2,resid,resid_building,resid cooling modern_d2,474
DC,resid_d3,resid,resid_building,resid cooling modern_d3,474
DC,resid_d4,resid,resid_building,resid cooling modern_d4,474
DC,resid_d5,resid,resid_building,resid cooling modern_d5,474
DC,resid_d6,resid,resid_building,resid cooling modern_d6,474
DC,resid_d7,resid,resid_building,resid cooling modern_d7,474
DC,resid_d8,resid,resid_building,resid cooling modern_d8,474
DC,resid_d9,resid,resid_building,resid cooling modern_d9,474
DC,resid_d10,resid,resid_building,resid cooling modern_d10,474
DC,resid_d1,resid,resid_building,resid heating coal_d1,-767
DC,resid_d2,resid,resid_building,resid heating coal_d2,-767
DC,resid_d3,resid,resid_building,resid heating coal_d3,-767
DC,resid_d4,resid,resid_building,resid heating coal_d4,-767
DC,resid_d5,resid,resid_building,resid heating coal_d5,-767
DC,resid_d6,resid,resid_building,resid heating coal_d6,-767
DC,resid_d7,resid,resid_building,resid heating coal_d7,-767
DC,resid_d8,resid,resid_building,resid heating coal_d8,-767
DC,resid_d9,resid,resid_building,resid heating coal_d9,-767
DC,resid_d10,resid,resid_building,resid heating coal_d10,-767
DC,resid_d1,resid,resid_building,resid heating modern_d1,-767
