"","state","state_name","year","sce","shares","category"
"219","ME","Maine",2011,"Historical",0.1475355,"d9"
"220","ME","Maine",2011,"Historical",0.2201643,"d10"
"221","MI","Michigan",2011,"Historical",0.03228643,"d1"
"222","MI","Michigan",2011,"Historical",0.05052964,"d2"
"223","MI","Michigan",2011,"Historical",0.06188723,"d3"
"224","MI","Michigan",2011,"Historical",0.07195283,"d4"
"225","MI","Michigan",2011,"Historical",0.0819874,"d5"
"226","MI","Michigan",2011,"Historical",0.09293305,"d6"
"227","MI","Michigan",2011,"Historical",0.1058536,"d7"
"228","MI","Michigan",2011,"Historical",0.1226367,"d8"
"229","MI","Michigan",2011,"Historical",0.1483075,"d9"
"230","MI","Michigan",2011,"Historical",0.2311703,"d10"
"231","MN","Minnesota",2011,"Historical",0.03236436,"d1"
"232","MN","Minnesota",2011,"Historical",0.05063342,"d2"
"233","MN","Minnesota",2011,"Historical",0.06199827,"d3"
"234","MN","Minnesota",2011,"Historical",0.07206429,"d4"
"235","MN","Minnesota",2011,"Historical",0.08209426,"d5"
"236","MN","Minnesota",2011,"Historical",0.09302967,"d6"
"237","MN","Minnesota",2011,"Historical",0.1059302,"d7"
"238","MN","Minnesota",2011,"Historical",0.1226751,"d8"
"239","MN","Minnesota",2011,"Historical",0.1482597,"d9"
"240","MN","Minnesota",2011,"Historical",0.2304883,"d10"
"241","MO","Missouri",2011,"Historical",0.03269717,"d1"
"242","MO","Missouri",2011,"Historical",0.05107668,"d2"
"243","MO","Missouri",2011,"Historical",0.06247247,"d3"
"244","MO","Missouri",2011,"Historical",0.07254032,"d4"
"245","MO","Missouri",2011,"Historical",0.08255061,"d5"
"246","MO","Missouri",2011,"Historical",0.09344232,"d6"
"247","MO","Missouri",2011,"Historical",0.1062573,"d7"
"248","MO","Missouri",2011,"Historical",0.1228393,"d8"
"249","MO","Missouri",2011,"Historical",0.1480554,"d9"
"250","MO","Missouri",2011,"Historical",0.2275757,"d10"
"251","MS","Mississippi",2011,"Historical",0.0332627,"d1"
"252","MS","Mississippi",2011,"Historical",0.0518299,"d2"
"253","MS","Mississippi",2011,"Historical",0.06327826,"d3"
