Source: State of Alaska Geoportal - https://gis.data.alaska.gov/maps/e08c3faedf7842b382f415511402d9d1,,,,,,,,,,
X,Y,OBJECTID,CommunityName,EntityName,ReportingSeason,ReportingDate,ReportingPeriod,ReportingYear,HFRetailGal,AsOfDate
-157.1704102,61.70269775,86,Sleetmute,Henry Hill Store,Summer,2017/07/15 09:00:00+00,July,2017,5.54,2019/02/06 09:00:00+00
-165.1071777,60.52947998,87,Toksook Bay,Nunakauiak Yupik Corporation,Summer,2017/07/15 09:00:00+00,July,2017,4.85,2019/02/06 09:00:00+00
-156.7609863,71.28948975,88,Utqiagvik,Eskimos Inc.,Summer,2017/07/15 09:00:00+00,July,2017,,2019/02/06 09:00:00+00
-146.3551025,61.13031006,89,Valdez,North Pacific,Summer,2017/07/15 09:00:00+00,July,2017,2.55,2019/02/06 09:00:00+00
-160.0322266,70.63848877,90,Wainwright,Olgoonik Corporation,Summer,2017/07/15 09:00:00+00,July,2017,1.5,2019/02/06 09:00:00+00
-161.2299805,60.9074707,91,Akiak,Kokarmiut Corporation,Winter,2017/01/15 09:00:00+00,Jan,2017,4.72,2019/02/06 09:00:00+00
-151.7357788,68.14190674,92,Anaktuvuk Pass,Nunamiut Corporation,Winter,2017/01/15 09:00:00+00,Jan,2017,1.55,2019/02/06 09:00:00+00
-149.1907959,64.34350586,93,Anderson,Nenana Heating,Winter,2017/01/15 09:00:00+00,Jan,2017,2.94,2019/02/06 09:00:00+00
-157.4235229,70.4821167,94,Atqasuk,North Slope Borough,Winter,2017/01/15 09:00:00+00,Jan,2017,1.4,2019/02/06 09:00:00+00
-148.0123291,60.06567383,95,Chenega Bay,Chenega Bay Utility,Winter,2017/01/15 09:00:00+00,Jan,2017,6.9,2019/02/06 09:00:00+00
-145.7601929,60.54412842,96,Cordova,Hovers Mover,Winter,2017/01/15 09:00:00+00,Jan,2017,2.94,2019/02/06 09:00:00+00
-163.0366821,64.54248047,97,Golovin,Golovin Public Utilities,Winter,2017/01/15 09:00:00+00,Jan,2017,4,2019/02/06 09:00:00+00
-161.5822754,59.11828613,98,Goodnews Bay,Mumtram Pikkai Village Corporation,Winter,2017/01/15 09:00:00+00,Jan,2017,4.12,2019/02/06 09:00:00+00
-133.151001,55.47607422,99,Craig,Petro Marine,Summer,2016/07/15 09:00:00+00,July,2016,2.86,2019/02/06 09:00:00+00
-162.6762085,60.34289551,100,Tuntutuliak,Qinarmiut Corporation,Winter,2015/01/15 09:00:00+00,Jan,2015,6.32,2019/02/06 09:00:00+00
-163.4104004,64.68127441,101,White Mountain,White Mountain Native Store,Winter,2014/01/15 09:00:00+00,Jan,2014,4.85,2019/02/06 09:00:00+00
-133.151001,55.47607422,102,Craig,Petro Marine,Winter,2012/01/15 09:00:00+00,Jan,2012,4.03,2019/02/06 09:00:00+00
-157.1704102,61.70269775,103,Sleetmute,Henry Hill Store,Winter,2011/01/15 09:00:00+00,Jan,2011,6.02,2019/02/06 09:00:00+00
-161.2299805,60.9074707,104,Akiak,Kokarmiut Corporation,Winter,2008/11/15 09:00:00+00,Nov,2008,6.45,2019/02/06 09:00:00+00
-161.046814,66.83349609,105,Noorvik,Morris Trading Post,Winter,2006/11/15 09:00:00+00,Nov,2006,4.55,2019/02/06 09:00:00+00
-147.7211914,64.83972168,106,Fairbanks,Alaska Petroleum,Summer,2017/07/15 09:00:00+00,July,2017,2.21,2019/02/06 09:00:00+00
-147.7211914,64.83972168,107,Fairbanks,Alaska Petroleum,Summer,2015/07/15 09:00:00+00,July,2015,3.04,2019/02/06 09:00:00+00
-158.4141846,56.30133057,108,Chignik,City of Chignik,Winter,2013/01/15 09:00:00+00,Jan,2013,4.72,2019/02/06 09:00:00+00
-158.4141846,56.30133057,109,Chignik,City of Chignik,Summer,2009/07/15 09:00:00+00,July,2009,2.92,2019/02/06 09:00:00+00
-161.5822754,59.11828613,110,Goodnews Bay,Mumtram Pikkai Village Corporation,Winter,2018/01/15 09:00:00+00,Jan,2018,4,2019/02/06 09:00:00+00
-161.2017822,56.00128174,111,Nelson Lagoon,Nelson Lagoon Enterprises,Winter,2018/01/15 09:00:00+00,Jan,2018,4.51,2019/02/06 09:00:00+00
-149.0906982,64.56268311,112,Nenana,Nenana Heating,Winter,2018/01/15 09:00:00+00,Jan,2018,3.61,2019/02/06 09:00:00+00
-157.3112793,59.45147705,113,New Stuyahok,New Stuyahok Village Corporation,Winter,2018/01/15 09:00:00+00,Jan,2018,6,2019/02/06 09:00:00+00
-161.046814,66.83349609,114,Noorvik,Morris Trading Post,Winter,2018/01/15 09:00:00+00,Jan,2018,5.64,2019/02/06 09:00:00+00
-150.9990234,70.21728516,115,Nuiqsut,North Slope Borough,Winter,2018/01/15 09:00:00+00,Jan,2018,2.3,2019/02/06 09:00:00+00
-162.4573975,60.89727783,116,Nunapitchuk,Nunapitchuk Ltd.,Winter,2018/01/15 09:00:00+00,Jan,2018,5.15,2019/02/06 09:00:00+00
-152.5039063,57.92327881,117,Ouzinkie,Ouzinkie Native Corporation,Winter,2018/01/15 09:00:00+00,Jan,2018,2.762,2019/02/06 09:00:00+00
-136.2296753,57.96069336,118,Pelican,Pelican Fuel,Winter,2018/01/15 09:00:00+00,Jan,2018,3.51,2019/02/06 09:00:00+00
-132.9577026,56.81109619,119,Petersburg,Petro Marine,Winter,2018/01/15 09:00:00+00,Jan,2018,2.98,2019/02/06 09:00:00+00
-152.8834229,57.86669922,120,Port Lions,Kizhuyak Oil Sales,Winter,2018/01/15 09:00:00+00,Jan,2018,3.7,2019/02/06 09:00:00+00
-157.1704102,61.70269775,121,Sleetmute,Henry Hill Store,Winter,2018/01/15 09:00:00+00,Jan,2018,6,2019/02/06 09:00:00+00
