source: https://gis.data.alaska.gov/datasets/fa3ad93528b24f7c9ba298a68c04920d_0/explore,,,
Place,e_Pop_Total,Start_Year,End_Year
Eielson AFB,2628,2008,2012
Ekwok,119,2008,2012
Elfin Cove,28,2008,2012
Elim,354,2008,2012
Emmonak,847,2008,2012
Ester,2630,2008,2012
Eureka Roadhouse,0,2008,2012
Evansville,26,2008,2012
Excursion Inlet,21,2008,2012
Fairbanks,31656,2008,2012
False Pass,18,2008,2012
Farm Loop,1047,2008,2012
Farmers Loop,3674,2008,2012
Ferry,8,2008,2012
Fishhook,4864,2008,2012
Flat,0,2008,2012
Fort Greely,1001,2008,2012
Fort Yukon,517,2008,2012
Four Mile Road,45,2008,2012
Fox,670,2008,2012
Fox River,705,2008,2012
Fritz Creek,1653,2008,2012
Funny River,819,2008,2012
Gakona,224,2008,2012
Galena,559,2008,2012
Gambell,719,2008,2012
Game Creek,29,2008,2012
Gateway,5269,2008,2012
Glacier View,307,2008,2012
Glennallen,531,2008,2012
Goldstream,3924,2008,2012
Golovin,121,2008,2012
Goodnews Bay,353,2008,2012
Grayling,186,2008,2012
Gulkana,148,2008,2012
Gustavus,511,2008,2012
Haines,2006,2008,2012
Halibut Cove,27,2008,2012
Happy Valley,573,2008,2012
Harding-Birch Lakes,264,2008,2012
Healy,984,2008,2012
Healy Lake,0,2008,2012
Hobart Bay,0,2008,2012
Hollis,136,2008,2012
Holy Cross,183,2008,2012
Homer,5050,2008,2012
Hoonah,694,2008,2012
Hooper Bay,1195,2008,2012
Hope,58,2008,2012
Houston,1957,2008,2012
Hughes,80,2008,2012
Huslia,352,2008,2012
Hydaburg,411,2008,2012
Hyder,77,2008,2012
Igiugig,48,2008,2012
Iliamna,80,2008,2012
Ivanof Bay,0,2008,2012
Juneau,31636,2008,2012
Kachemak,701,2008,2012
Kake,413,2008,2012
Kaktovik,258,2008,2012
Kalifornsky,7825,2008,2012
Kaltag,193,2008,2012
Karluk,29,2008,2012
Kasaan,47,2008,2012
Kasigluk,557,2008,2012
Kasilof,583,2008,2012
Kenai,7152,2008,2012
Kenny Lake,182,2008,2012
Ketchikan,8097,2008,2012
Kiana,348,2008,2012
King Cove,892,2008,2012
King Salmon,294,2008,2012
Kipnuk,626,2008,2012
Kivalina,453,2008,2012
Klawock,633,2008,2012
Klukwan,129,2008,2012
Knik River,690,2008,2012
Knik-Fairview,14400,2008,2012
Kobuk,121,2008,2012
Kodiak Station,1782,2008,2012
Kodiak,6196,2008,2012
Kokhanok,91,2008,2012
Koliganek,281,2008,2012
Kongiganak,370,2008,2012
Kotlik,565,2008,2012
Kotzebue,3240,2008,2012
Koyuk,340,2008,2012
Koyukuk,112,2008,2012
Kupreanof,41,2008,2012
Kwethluk,705,2008,2012
Kwigillingok,252,2008,2012
Lake Louise,34,2008,2012
Lake Minchumina,13,2008,2012
Lakes,9159,2008,2012
Larsen Bay,95,2008,2012
Lazy Mountain,1306,2008,2012
Levelock,112,2008,2012
Lime Village,19,2008,2012
Livengood,43,2008,2012
Loring,0,2008,2012
Lowell Point,0,2008,2012
Lower Kalskag,274,2008,2012
Lutak,11,2008,2012
Manley Hot Springs,92,2008,2012
Manokotak,475,2008,2012
Marshall,365,2008,2012
McCarthy,97,2008,2012
McGrath,369,2008,2012
Denali Park,359,2008,2012
Meadow Lakes,6405,2008,2012
Mekoryuk,173,2008,2012
Mendeltna,19,2008,2012
Mentasta Lake,158,2008,2012
Mertarvik,0,2008,2012
Metlakatla,1558,2008,2012
Minto,239,2008,2012
Moose Creek,663,2008,2012
Moose Pass,348,2008,2012
Mosquito Lake,91,2008,2012
Mountain Village,768,2008,2012
Mud Bay,107,2008,2012
Nabesna,0,2008,2012
Naknek,578,2008,2012
Nanwalek,209,2008,2012
Napakiak,340,2008,2012
Napaskiak,358,2008,2012
Naukati Bay,47,2008,2012
Nelchina,80,2008,2012
Nelson Lagoon,31,2008,2012
Nenana,472,2008,2012
New Allakaket,79,2008,2012
New Stuyahok,521,2008,2012
Newhalen,230,2008,2012
Newtok,389,2008,2012
Nightmute,343,2008,2012
Nikiski,4708,2008,2012
Nikolaevsk,183,2008,2012
Nikolai,47,2008,2012
Nikolski,30,2008,2012
Ninilchik,643,2008,2012
Noatak,465,2008,2012
Nome,3638,2008,2012
Nondalton,208,2008,2012
Noorvik,708,2008,2012
North Pole,2273,2008,2012
Northway,118,2008,2012
Northway Junction,44,2008,2012
Northway Village,79,2008,2012
Nuiqsut,487,2008,2012
Nulato,289,2008,2012
Nunam Iqua,143,2008,2012
Nunapitchuk,403,2008,2012
Old Harbor,243,2008,2012
Oscarville,95,2008,2012
Ouzinkie,306,2008,2012
Palmer,6007,2008,2012
Paxson,18,2008,2012
Pedro Bay,26,2008,2012
Pelican,91,2008,2012
Perryville,98,2008,2012
Petersburg,3163,2008,2012
Petersville,0,2008,2012
